Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
P14B26ATD-G07	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14B26ATU-B02	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14B26BTD-G09	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14B26BTU-B04	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14B26CTD-G11	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14B26CTU-B06	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14B30ATD-F07	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14B30ATU-A02	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14B30BTD-F09	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14B30BTU-A04	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14B30CTD-F11	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14B30CTU-A06	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14B36ATD-H07	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14B36ATU-C02	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14B36BTD-H09	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14B36BTU-C04	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14B36CTD-A12	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14B36CTU-C06	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14M20ATD-A08	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14M20ATU-D02	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14M20BTD-A10	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14M20BTU-D04	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14M20CTD-B12	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14M20CTU-D06	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14M26ATD-C08	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14M26ATU-F02	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14M26BTD-C10	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14M26BTU-F04	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14M26CTD-D12	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14M26CTU-F06	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14M30ATD-B08	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14M30ATU-E02	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14M30BTD-B10	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14M30BTU-E04	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14M30CTD-C12	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14M30CTU-E06	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14M36ATD-D08	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14M36ATU-G02	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14M36BTD-D10	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14M36BTU-G04	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
P14M36CTD-E12	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Root
P14M36CTU-G06	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Stem
ITS1-D0A	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Soil
ITS1-D0B	ASV16	0.002318679	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Soil
ITS1-D0C	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Soil
ITS1-D6A	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Soil
ITS1-D6B	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Soil
ITS1-D6C	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	ns	Seed
