Combined	All	ASV	Compartment	GxY	Soil_div	Rel_abund_Seed	Type
ASV1029_BostonY1	nsSeed-BostonY1	ASV1029	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1029_BostonY2	nsSeed-BostonY2	ASV1029	Seed	BostonY2	ns 	0.111648819	0.01<x<1%: Intermediate
ASV1029_MajorY1	nsSeed-MajorY1	ASV1029	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1029_MajorY2	nsSeed-MajorY2	ASV1029	Seed	MajorY2	ns 	0.015433626	0.01<x<1%: Intermediate
ASV103_BostonY1	nsSeed-BostonY1	ASV103	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV103_BostonY2	nsSeed-BostonY2	ASV103	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV103_MajorY1	nsSeed-MajorY1	ASV103	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV103_MajorY2	nsSeed-MajorY2	ASV103	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1030_BostonY1	nsSeed-BostonY1	ASV1030	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1030_BostonY2	nsSeed-BostonY2	ASV1030	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1030_MajorY1	nsSeed-MajorY1	ASV1030	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1030_MajorY2	nsSeed-MajorY2	ASV1030	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1031_BostonY1	nsSeed-BostonY1	ASV1031	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1031_BostonY2	nsSeed-BostonY2	ASV1031	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1031_MajorY1	nsSeed-MajorY1	ASV1031	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1031_MajorY2	nsSeed-MajorY2	ASV1031	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1032_BostonY1	nsSeed-BostonY1	ASV1032	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1032_BostonY2	nsSeed-BostonY2	ASV1032	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1032_MajorY1	nsSeed-MajorY1	ASV1032	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1032_MajorY2	nsSeed-MajorY2	ASV1032	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1033_BostonY1	nsSeed-BostonY1	ASV1033	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1033_BostonY2	nsSeed-BostonY2	ASV1033	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1033_MajorY1	nsSeed-MajorY1	ASV1033	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1033_MajorY2	nsSeed-MajorY2	ASV1033	Seed	MajorY2	ns 	0	< 0.01%: Rare
